Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-31 14:26:41.497153-0600 0x3c03a8c  Activity    0x6130e70            5495   0    diaryx: (libsystem_info.dylib) Retrieve User by ID
2025-07-31 14:26:41.497993-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038ac000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-07-31 14:26:41.498077-0600 0x3c03aaf  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038b80f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.agent
2025-07-31 14:26:41.501388-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038a8000] activating connection: mach=true listener=false peer=false name=com.apple.coreservices.launchservicesd
2025-07-31 14:26:41.501986-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038b41e0] activating connection: mach=true listener=false peer=false name=com.apple.analyticsd
2025-07-31 14:26:41.502327-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038b81e0] activating connection: mach=true listener=false peer=false name=com.apple.pasteboard.1
2025-07-31 14:26:41.502775-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038bc1e0] activating connection: mach=true listener=false peer=false name=com.apple.distributed_notifications@Uv3
2025-07-31 14:26:41.502834-0600 0x3c03ab0  Default     0x0                  5495   0    diaryx: (CoreAnalytics) [com.apple.CoreAnalytics:client] Received configuration update from daemon (initial)
2025-07-31 14:26:41.506058-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (AppKit) [com.apple.AppKit:AutomaticTermination] void _NSDisableAutomaticTerminationAndLog(NSString *) No windows open yet
2025-07-31 14:26:41.506952-0600 0x3c03a8c  Activity    0x6130e71            5495   0    diaryx: (TCC) TCCAccessRequest() IPC
2025-07-31 14:26:41.507034-0600 0x3c03a8c  Default     0x6130e71            5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038ac0f0] activating connection: mach=true listener=false peer=false name=com.apple.tccd.system
2025-07-31 14:26:41.513289-0600 0x3c03a8c  Default     0x6130e71            5495   0    diaryx: (libxpc.dylib) [com.apple.xpc:connection] [0x6000038ac0f0] invalidated after the last release of the connection object
2025-07-31 14:26:41.513566-0600 0x3c03a8c  Default     0x0                  5495   7    diaryx: (SkyLight) [com.apple.SkyLight:default] server port 0x00003807, session port 0x00003807
2025-07-31 14:26:41.522597-0600 0x3c03a8c  Default     0x0                  5495   7    diaryx: (SkyLight) [com.apple.SkyLight:default] New connection 0x1cfd2f main
2025-07-31 14:26:41.526225-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (LaunchServices) [com.apple.processmanager:front-35286506] CHECKIN: pid=5495
2025-07-31 14:26:41.529228-0600 0x3c03a8c  Default     0x0                  5495   0    diaryx: (LaunchServices) [com.apple.processmanager:front-35286506] CHECKEDIN: pid=5495 asn=0x0-0x6d75d6f foreground=1
